DATE,MORTGAGE
2000-01-01,8.26
2000-04-01,8.32
2000-07-01,8.02
2000-10-01,7.62
2001-01-01,7.01
2001-04-01,7.13
2001-07-01,6.96
2001-10-01,6.77
2002-01-01,6.97
2002-04-01,6.81
2002-07-01,6.29
2002-10-01,6.08
2003-01-01,5.84
2003-04-01,5.51
2003-07-01,6.03
2003-10-01,5.92
2004-01-01,5.6
2004-04-01,6.11
2004-07-01,5.89
2004-10-01,5.74
2005-01-01,5.77
2005-04-01,5.71
2005-07-01,5.76
2005-10-01,6.23
2006-01-01,6.25
2006-04-01,6.6
2006-07-01,6.56
2006-10-01,6.24
2007-01-01,6.21
2007-04-01,6.36
2007-07-01,6.55
2007-10-01,6.22
2008-01-01,5.87
2008-04-01,6.09
2008-07-01,6.32
2008-10-01,5.84
2009-01-01,5.06
2009-04-01,5.01
2009-07-01,5.16
2009-10-01,4.92
2010-01-01,5.0
2010-04-01,4.92
2010-07-01,4.45
2010-10-01,4.44
2011-01-01,4.85
2011-04-01,4.65
2011-07-01,4.29
2011-10-01,4.0
2012-01-01,3.92
2012-04-01,3.79
2012-07-01,3.55
2012-10-01,3.36
2013-01-01,3.5
2013-04-01,3.67
2013-07-01,4.44
2013-10-01,4.29
2014-01-01,4.36
2014-04-01,4.23
2014-07-01,4.14
2014-10-01,3.96
2015-01-01,3.72
2015-04-01,3.82
2015-07-01,3.95
2015-10-01,3.9
2016-01-01,3.74
2016-04-01,3.59
2016-07-01,3.45
2016-10-01,3.84
2017-01-01,4.17
2017-04-01,3.98
2017-07-01,3.88
2017-10-01,3.92
2018-01-01,4.28
2018-04-01,4.54
2018-07-01,4.57
2018-10-01,4.78
2019-01-01,4.37
2019-04-01,4.01
2019-07-01,3.66
2019-10-01,3.7
2020-01-01,3.52
2020-04-01,3.24
2020-07-01,2.95
2020-10-01,2.76
